Time resolution is 1 ps
Time = 0 | serial_in = 0 | Internal stream_in = xxxxxxxx | parity_out = x
Time = 5 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 190 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 195 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 200 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 205 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 280 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 285 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 290 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 295 | serial_in = 0 | Internal stream_in = 00000010 | parity_out = 1
Time = 305 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 380 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 385 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 395 | serial_in = 1 | Internal stream_in = 00000011 | parity_out = 1
Time = 400 | serial_in = 0 | Internal stream_in = 00000011 | parity_out = 1
Time = 405 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 470 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 475 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 480 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 485 | serial_in = 0 | Internal stream_in = 00000010 | parity_out = 1
Time = 495 | serial_in = 0 | Internal stream_in = 00000100 | parity_out = 1
Time = 505 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 570 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 575 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 580 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 585 | serial_in = 0 | Internal stream_in = 00000010 | parity_out = 1
Time = 590 | serial_in = 1 | Internal stream_in = 00000010 | parity_out = 1
Time = 595 | serial_in = 1 | Internal stream_in = 00000101 | parity_out = 1
Time = 600 | serial_in = 0 | Internal stream_in = 00000101 | parity_out = 1
Time = 605 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 670 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 675 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 685 | serial_in = 1 | Internal stream_in = 00000011 | parity_out = 1
Time = 690 | serial_in = 0 | Internal stream_in = 00000011 | parity_out = 1
Time = 695 | serial_in = 0 | Internal stream_in = 00000110 | parity_out = 0
Time = 705 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 770 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 775 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 785 | serial_in = 1 | Internal stream_in = 00000011 | parity_out = 1
Time = 795 | serial_in = 1 | Internal stream_in = 00000111 | parity_out = 0
Time = 800 | serial_in = 0 | Internal stream_in = 00000111 | parity_out = 0
Time = 805 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 860 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 865 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 870 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 875 | serial_in = 0 | Internal stream_in = 00000010 | parity_out = 1
Time = 885 | serial_in = 0 | Internal stream_in = 00000100 | parity_out = 1
Time = 895 | serial_in = 0 | Internal stream_in = 00001000 | parity_out = 1
Time = 905 | serial_in = 0 | Internal stream_in = 00000000 | parity_out = 0
Time = 960 | serial_in = 1 | Internal stream_in = 00000000 | parity_out = 0
Time = 965 | serial_in = 1 | Internal stream_in = 00000001 | parity_out = 0
Time = 970 | serial_in = 0 | Internal stream_in = 00000001 | parity_out = 0
Time = 975 | serial_in = 0 | Internal stream_in = 00000010 | parity_out = 1
Time = 985 | serial_in = 0 | Internal stream_in = 00000100 | parity_out = 1
Time = 990 | serial_in = 1 | Internal stream_in = 00000100 | parity_out = 1
Time = 995 | serial_in = 1 | Internal stream_in = 00001001 | parity_out = 1
Time = 1000 | serial_in = 0 | Internal stream_in = 00001001 | parity_out = 1
