Time resolution is 1 ps
Time = 0 | Input D = xxxx | casez Output = xx | casex Output = xx
Time = 10 | Input D = 000x | casez Output = xx | casex Output = 00
Time = 20 | Input D = 000z | casez Output = 00 | casex Output = 00
Time = 40 | Input D = 010x | casez Output = 10 | casex Output = 10
Time = 50 | Input D = 0001 | casez Output = 00 | casex Output = 00
Time = 60 | Input D = 0x00 | casez Output = xx | casex Output = 10
Time = 70 | Input D = 000x | casez Output = xx | casex Output = 00
Time = 80 | Input D = xxxx | casez Output = xx | casex Output = 11
Time = 90 | Input D = x000 | casez Output = xx | casex Output = 11
Time = 100 | Input D = 1xx0 | casez Output = 11 | casex Output = 11
Time = 110 | Input D = 00z0 | casez Output = 01 | casex Output = 01
Time = 120 | Input D = 001x | casez Output = 01 | casex Output = 01
Time = 130 | Input D = 01zz | casez Output = 10 | casex Output = 10
Time = 140 | Input D = 00z0 | casez Output = 01 | casex Output = 01
Time = 150 | Input D = 1xxx | casez Output = 11 | casex Output = 11
Time = 160 | Input D = 1zzz | casez Output = 11 | casex Output = 11
Time = 180 | Input D = z000 | casez Output = 11 | casex Output = 11
Time = 190 | Input D = zzz0 | casez Output = 11 | casex Output = 11
Time = 200 | Input D = 01xx | casez Output = 10 | casex Output = 10
$stop called at time : 210 ns : File "D:/ECE/FPGA Training NTI/Prirority_Encoder/Prirority_Encoder.srcs/sources_1/new/P_ENC_tb.v" Line 56
